IA_normalizado;Grupo_IRAC;Nome_Grupo_Principal;Subgrupo_ou_Classe;Comite;Fonte
clofentezina;10A;Inibidores de crescimento de ácaros (CHS1);Clofentezina, diflovidazina, hexitiazox;IRAC;IRAC MoA Classification v11.x
clofentezine;10A;Inibidores de crescimento de ácaros (CHS1);Clofentezina, diflovidazina, hexitiazox;IRAC;IRAC MoA Classification v11.x
diflovidazin;10A;Inibidores de crescimento de ácaros (CHS1);Clofentezina, diflovidazina, hexitiazox;IRAC;IRAC MoA Classification v11.x
hexitiazox;10A;Inibidores de crescimento de ácaros (CHS1);Clofentezina, diflovidazina, hexitiazox;IRAC;IRAC MoA Classification v11.x
hexythiazox;10A;Inibidores de crescimento de ácaros (CHS1);Clofentezina, diflovidazina, hexitiazox;IRAC;IRAC MoA Classification v11.x
etoxazol;10B;Inibidores de crescimento de ácaros (CHS1);Etoxazol;IRAC;IRAC MoA Classification v11.x
etoxazole;10B;Inibidores de crescimento de ácaros (CHS1);Etoxazol;IRAC;IRAC MoA Classification v11.x
bacillus thuringiensis;11A;Disruptors microbianos de membranas do intestino médio;Bacillus thuringiensis e proteínas;IRAC;IRAC MoA Classification v11.x
bacillus thuringiensis var. aizawai;11A;Disruptors microbianos de membranas do intestino médio;Bacillus thuringiensis e proteínas;IRAC;IRAC MoA Classification v11.x
bacillus thuringiensis var. israelensis;11A;Disruptors microbianos de membranas do intestino médio;Bacillus thuringiensis e proteínas;IRAC;IRAC MoA Classification v11.x
bacillus thuringiensis var. kurstaki;11A;Disruptors microbianos de membranas do intestino médio;Bacillus thuringiensis e proteínas;IRAC;IRAC MoA Classification v11.x
bacillus thuringiensis var. tenebrionis;11A;Disruptors microbianos de membranas do intestino médio;Bacillus thuringiensis e proteínas;IRAC;IRAC MoA Classification v11.x
bt;11A;Disruptors microbianos de membranas do intestino médio;Bacillus thuringiensis e proteínas;IRAC;IRAC MoA Classification v11.x
bacillus sphaericus;11B;Disruptors microbianos de membranas do intestino médio;Bacillus sphaericus;IRAC;IRAC MoA Classification v11.x
lysini bacillus sphaericus;11B;Disruptors microbianos de membranas do intestino médio;Bacillus sphaericus;IRAC;IRAC MoA Classification v11.x
diafenthiuron;12A;Inibidores da ATP sintase mitocondrial;Diafentiuron;IRAC;IRAC MoA Classification v11.x
diafentiuron;12A;Inibidores da ATP sintase mitocondrial;Diafentiuron;IRAC;IRAC MoA Classification v11.x
azociclotin;12B;Inibidores da ATP sintase mitocondrial;Compostos organoestânicos;IRAC;IRAC MoA Classification v11.x
azocyclotin;12B;Inibidores da ATP sintase mitocondrial;Compostos organoestânicos;IRAC;IRAC MoA Classification v11.x
cihexatin;12B;Inibidores da ATP sintase mitocondrial;Compostos organoestânicos;IRAC;IRAC MoA Classification v11.x
cyhexatin;12B;Inibidores da ATP sintase mitocondrial;Compostos organoestânicos;IRAC;IRAC MoA Classification v11.x
fenbutatin oxide;12B;Inibidores da ATP sintase mitocondrial;Compostos organoestânicos;IRAC;IRAC MoA Classification v11.x
oxido de fenbutatin;12B;Inibidores da ATP sintase mitocondrial;Compostos organoestânicos;IRAC;IRAC MoA Classification v11.x
propargite;12C;Inibidores da ATP sintase mitocondrial;Propargite;IRAC;IRAC MoA Classification v11.x
propargito;12C;Inibidores da ATP sintase mitocondrial;Propargite;IRAC;IRAC MoA Classification v11.x
tetradifon;12D;Inibidores da ATP sintase mitocondrial;Tetradifon;IRAC;IRAC MoA Classification v11.x
chlorfenapyr;13;Desacopladores da fosforilação oxidativa via disrupção do gradiente de prótons;Pirroles, dinitrofenóis, sulfluramida;IRAC;IRAC MoA Classification v11.x
clorfenapir;13;Desacopladores da fosforilação oxidativa via disrupção do gradiente de prótons;Pirroles, dinitrofenóis, sulfluramida;IRAC;IRAC MoA Classification v11.x
dnoc;13;Desacopladores da fosforilação oxidativa via disrupção do gradiente de prótons;Pirroles, dinitrofenóis, sulfluramida;IRAC;IRAC MoA Classification v11.x
sulfluramid;13;Desacopladores da fosforilação oxidativa via disrupção do gradiente de prótons;Pirroles, dinitrofenóis, sulfluramida;IRAC;IRAC MoA Classification v11.x
sulfluramida;13;Desacopladores da fosforilação oxidativa via disrupção do gradiente de prótons;Pirroles, dinitrofenóis, sulfluramida;IRAC;IRAC MoA Classification v11.x
bensultap;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
cartap;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
cartap hydrochloride;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
hidrocloreto de cartap;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
thiocyclam;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
